Nomination,Winner,Production_Co,Movie,Nominations,Studios
DOCUMENTARY FEATURE,N,National Geographic,The Cave,The Cave,National Geographic
DOCUMENTARY FEATURE,N,Netflix,The Edge of Democracy,The Edge of Democracy,Netflix
DOCUMENTARY FEATURE,N,PBS Distribution/Channel 4/Frontline,For Sama,For Sama,PBS Distribution/Channel 4/Frontline
DOCUMENTARY FEATURE,N,Neon,Honeyland,Honeyland,Neon
BEST INTERNATIONAL FEATURE FILM,N,Film Movement,Corpus Christi,Corpus Christi,Film Movement
BEST INTERNATIONAL FEATURE FILM,N,Neon,Honeyland,Honeyland,Neon
BEST INTERNATIONAL FEATURE FILM,N,Amazon Studios,Les Mis�rables,Les Mis�rables,Amazon Studios
BEST INTERNATIONAL FEATURE FILM,N,Sony,Pain and Glory,Pain and Glory,Sony Pictures Classics
BEST INTERNATIONAL FEATURE FILM,Y,Neon,Parasite,Parasite,Neon
BEST ANIMATED SHORT,N,Miyu Distribution,Dcera (Daughter),Dcera (Daughter),Miyu Distribution
BEST ANIMATED SHORT,Y,Sony,Hair Love,Hair Love,Sony Pictures Releasing
BEST ANIMATED SHORT,N,Walt Disney,Kitbull,Kitbull,Walt Disney
BEST ANIMATED SHORT,N,Vivement Lundi,Memorable,Memorable,Vivement Lundi
BEST ANIMATED SHORT,N,California Institute of the Arts,Sister,Sister,California Institute of the Arts
DOCUMENTARY SHORT SUBJECT,N,416 Documenting Group,In the Absence,In the Absence,416 Documenting Group
DOCUMENTARY SHORT SUBJECT,Y,A&E IndieFilms,Learning to Skateboard in a Warzone (If You�re a Girl),Learning to Skateboard in a Warzone (If You�re a Girl),A&E IndieFilms
DOCUMENTARY SHORT SUBJECT,N,Netflix,Life Overtakes Me,Life Overtakes Me,Netflix
DOCUMENTARY SHORT SUBJECT,N,MTV Documentary Films/AJE Witness,St. Louis Superman,St. Louis Superman,MTV Documentary Films/AJE Witness
DOCUMENTARY SHORT SUBJECT,N,The New York Times Op-Docs,Walk Run Cha-Cha,Walk Run Cha-Cha,The New York Times Op-Docs
BEST LIVE ACTION SHORT,N,Cin�t�l�films,Brotherhood,Brotherhood,Cin�t�l�films
BEST LIVE ACTION SHORT,N,Les Valseurs,Nefta Football Club,Nefta Football Club,Les Valseurs
BEST LIVE ACTION SHORT,Y,Marshall Curry LLC,The Neighbors� Window,The Neighbors� Window,Marshall Curry LLC
BEST LIVE ACTION SHORT,N,Hungry Man/Tonic Films,Saria,Saria,Hungry Man/Tonic Films
BEST LIVE ACTION SHORT,N,Versus Production,A Sister,A Sister,Versus Production
,,,,,
BEST PICTURE,N,Walt Disney,Ford v Ferrari,Ford v Ferrari,Walt Disney
BEST PICTURE,N,Netflix,The Irishman,The Irishman,Netflix
BEST PICTURE,N,Walt Disney,Jojo Rabbit,Jojo Rabbit,Fox Searchlight
BEST PICTURE,N,Warner Bros.,Joker,Joker,Warner Bros.
BEST PICTURE,N,Sony,Little Women,Little Women,Sony Pictures Releasing
BEST PICTURE,N,Netflix,Marriage Story,Marriage Story,Netflix
BEST PICTURE,N,Universal,1917,1917,Universal/Amblin Partners
BEST PICTURE,N,Sony,Once Upon a Time�in Hollywood,Once Upon a Time�in Hollywood,Sony Pictures Releasing
BEST PICTURE,Y,Neon,Parasite,Parasite,Neon
BEST DIRECTOR,N,Netflix,The Irishman,The Irishman,Netflix
BEST DIRECTOR,N,Warner Bros.,Joker,Joker,Warner Bros.
BEST DIRECTOR,N,Universal,1917,1917,Universal/Amblin Partners
BEST DIRECTOR,N,Sony,Once Upon a Time�in Hollywood,Once Upon a Time�in Hollywood,Sony Pictures Releasing
BEST DIRECTOR,Y,Neon,Parasite,Parasite,Neon
BEST ACTOR,N,Sony,Pain and Glory,Antonio Banderas in Pain and Glory,Sony Pictures Classics
